Date,Stock Price
2023-01-02,40.37724845450484
2023-01-03,40.27269048522573
2023-01-04,40.76948198008294
2023-01-05,41.96082453768333
2023-01-06,41.77639283427928
2023-01-09,41.59278467407381
2023-01-10,42.853661390248014
2023-01-11,43.480575817052
2023-01-12,43.097377038813754
2023-01-13,43.54241946033192
2023-01-16,43.16361590444845
2023-01-17,42.78623826876611
2023-01-18,42.98319547641006
2023-01-19,41.45762008455145
2023-01-20,40.12878406421529
2023-01-23,39.70542040967335
2023-01-24,38.95343926071564
2023-01-25,39.18624719488259
2023-01-26,38.5203190852028
2023-01-27,37.50656196925878
2023-01-30,38.560719390023294
2023-01-31,38.39731054047639
2023-02-01,38.44711445505142
2023-02-02,37.42648095466292
2023-02-03,37.0441594083638
2023-02-06,37.122639129495106
2023-02-07,36.32460490718369
2023-02-08,36.58416228017145
2023-02-09,36.17196900790002
2023-02-10,35.97384161612359
2023-02-13,35.56780698785362
2023-02-14,36.835636591809
2023-02-15,36.826980889321696
2023-02-16,36.098884312314105
2023-02-17,36.66514811796602
2023-02-20,35.82962084361885
2023-02-21,35.97204698853509
2023-02-22,34.66491028131651
2023-02-23,33.80631608432192
2023-02-24,33.933001733411146
2023-02-27,34.41057101404713
2023-02-28,34.522884894392604
2023-03-01,34.4482070634636
2023-03-02,34.253429487851015
2023-03-03,33.31025527154302
2023-03-06,32.86083762652012
2023-03-07,32.57667080572294
2023-03-08,33.2346899756399
2023-03-09,33.45188202081569
2023-03-10,32.356333610910156
2023-03-13,32.55576487534513
2023-03-14,32.32035296126909
2023-03-15,31.910164495970253
2023-03-16,32.28182101091133
2023-03-17,32.91762993566107
2023-03-20,33.50276533477417
2023-03-21,32.97627377919853
2023-03-22,32.78479451562818
2023-03-23,32.99134256991871
2023-03-24,33.6058888458095
2023-03-27,33.303611253966345
2023-03-28,33.18763200391532
2023-03-29,32.5016083221849
2023-03-30,31.775751225919045
2023-03-31,32.26809004989259
2023-04-03,33.10649243916052
2023-04-04,33.062133026513536
2023-04-05,33.695815601458015
2023-04-06,33.927571628957125
2023-04-07,33.517123349716606
2023-04-10,33.74749701984266
2023-04-11,34.743499001453486
2023-04-12,34.720680564783635
2023-04-13,35.763382725608885
2023-04-14,34.03658843308497
2023-04-17,34.57008241519479
2023-04-18,34.62769298104337
2023-04-19,34.43326467590643
2023-04-20,34.49371982519974
2023-04-21,33.22278101463573
2023-04-24,33.08580940223093
2023-04-25,33.31052219615677
2023-04-26,34.2546720401242
2023-04-27,33.92148681814032
2023-04-28,33.40780697123398
2023-05-01,33.09318472714039
2023-05-02,33.67133560372475
2023-05-03,33.881860275627375
2023-05-04,33.545016518782724
2023-05-05,33.87266071393547
